Period,Value/$MM
Jan-2002,"858,654"
Feb-2002,"862,338"
Mar-2002,"844,551"
Apr-2002,"858,240"
May-2002,"850,935"
Jun-2002,"846,777"
Jul-2002,"847,129"
Aug-2002,"839,008"
Sep-2002,"832,134"
Oct-2002,"839,690"
Nov-2002,"844,697"
Dec-2002,"855,921"
Jan-2003,"863,855"
Feb-2003,"859,225"
Mar-2003,"851,132"
Apr-2003,"859,459"
May-2003,"866,814"
Jun-2003,"880,865"
Jul-2003,"891,264"
Aug-2003,"901,839"
Sep-2003,"911,589"
Oct-2003,"925,732"
Nov-2003,"925,985"
Dec-2003,"948,491"
Jan-2004,"938,525"
Feb-2004,"937,813"
Mar-2004,"961,159"
Apr-2004,"967,602"
May-2004,"974,381"
Jun-2004,"983,087"
Jul-2004,"1,006,184"
Aug-2004,"1,013,616"
Sep-2004,"1,012,080"
Oct-2004,"1,015,719"
Nov-2004,"1,022,994"
Dec-2004,"1,037,480"
Jan-2005,"1,046,082"
Feb-2005,"1,066,848"
Mar-2005,"1,071,745"
Apr-2005,"1,081,012"
May-2005,"1,093,341"
Jun-2005,"1,105,896"
Jul-2005,"1,119,101"
Aug-2005,"1,129,163"
Sep-2005,"1,148,438"
Oct-2005,"1,160,831"
Nov-2005,"1,172,090"
Dec-2005,"1,184,677"
Jan-2006,"1,195,642"
Feb-2006,"1,205,639"
Mar-2006,"1,205,169"
Apr-2006,"1,193,296"
May-2006,"1,180,581"
Jun-2006,"1,172,128"
Jul-2006,"1,157,926"
Aug-2006,"1,145,907"
Sep-2006,"1,135,753"
Oct-2006,"1,122,914"
Nov-2006,"1,121,749"
Dec-2006,"1,135,406"
Jan-2007,"1,137,917"
Feb-2007,"1,139,032"
Mar-2007,"1,146,624"
Apr-2007,"1,150,590"
May-2007,"1,161,581"
Jun-2007,"1,163,511"
Jul-2007,"1,155,448"
Aug-2007,"1,159,077"
Sep-2007,"1,158,580"
Oct-2007,"1,152,491"
Nov-2007,"1,132,908"
Dec-2007,"1,115,141"
Jan-2008,"1,111,347"
Feb-2008,"1,096,648"
Mar-2008,"1,103,446"
Apr-2008,"1,101,252"
May-2008,"1,101,547"
Jun-2008,"1,090,098"
Jul-2008,"1,086,952"
Aug-2008,"1,070,075"
Sep-2008,"1,059,579"
Oct-2008,"1,055,959"
Nov-2008,"1,035,033"
Dec-2008,"999,139"
Jan-2009,"975,099"
Feb-2009,"971,708"
Mar-2009,"963,793"
Apr-2009,"932,482"
May-2009,"920,020"
Jun-2009,"912,530"
Jul-2009,"911,438"
Aug-2009,"900,112"
Sep-2009,"887,241"
Oct-2009,"871,391"
Nov-2009,"858,493"
Dec-2009,"842,609"
Jan-2010,"822,114"
Feb-2010,"814,885"
Mar-2010,"821,849"
Apr-2010,"829,664"
May-2010,"823,447"
Jun-2010,"821,943"
Jul-2010,"799,694"
Aug-2010,"802,030"
Sep-2010,"807,728"
Oct-2010,"801,372"
Nov-2010,"804,151"
Dec-2010,"789,395"
Jan-2011,"759,964"
Feb-2011,"758,376"
Mar-2011,"769,157"
Apr-2011,"769,437"
May-2011,"775,251"
Jun-2011,"794,839"
Jul-2011,"792,381"
Aug-2011,"811,953"
Sep-2011,"813,660"
Oct-2011,"808,378"
Nov-2011,"812,050"
Dec-2011,"821,367"
Jan-2012,"830,610"
Feb-2012,"824,368"
Mar-2012,"829,288"
Apr-2012,"841,740"
May-2012,"850,928"
Jun-2012,"858,009"
Jul-2012,"858,934"
Aug-2012,"862,726"
Sep-2012,"866,588"
Oct-2012,"875,366"
Nov-2012,"872,052"
Dec-2012,"871,809"
Jan-2013,"862,722"
Feb-2013,"873,583"
Mar-2013,"864,510"
Apr-2013,"879,728"
May-2013,"888,752"
Jun-2013,"899,295"
Jul-2013,"917,756"
Aug-2013,"929,061"
Sep-2013,"938,121"
Oct-2013,"951,214"
Nov-2013,"964,122"
Dec-2013,"979,211"
Jan-2014,"986,587"
Feb-2014,"987,538"
Mar-2014,"991,157"
Apr-2014,"1,006,901"
May-2014,"1,007,147"
Jun-2014,"1,006,424"
Jul-2014,"1,014,935"
Aug-2014,"1,015,096"
Sep-2014,"1,021,890"
Oct-2014,"1,046,402"
Nov-2014,"1,044,893"
Dec-2014,"1,056,429"
Jan-2015,"1,061,241"
Feb-2015,"1,072,895"
Mar-2015,"1,086,748"
Apr-2015,"1,115,619"
May-2015,"1,135,433"
Jun-2015,"1,158,193"
Jul-2015,"1,154,561"
Aug-2015,"1,164,377"
Sep-2015,"1,163,937"
Oct-2015,"1,151,533"
Nov-2015,"1,145,510"
Dec-2015,"1,156,354"
Jan-2016,"1,160,988"
Feb-2016,"1,172,851"
Mar-2016,"1,188,776"
Apr-2016,"1,185,902"
May-2016,"1,190,685"
Jun-2016,"1,217,604"
Jul-2016,"1,214,532"
Aug-2016,"1,221,250"
Sep-2016,"1,232,438"
Oct-2016,"1,241,100"
Nov-2016,"1,264,881"
Dec-2016,"1,270,443"
Jan-2017,"1,256,025"
Feb-2017,"1,277,327"
Mar-2017,"1,274,466"
Apr-2017,"1,268,229"
May-2017,"1,282,119"
Jun-2017,"1,277,442"
Jul-2017,"1,275,620"
Aug-2017,"1,274,043"
Sep-2017,"1,280,026"
Oct-2017,"1,283,890"
Nov-2017,"1,309,300"
Dec-2017,"1,314,355"
Jan-2018,"1,338,470"
Feb-2018,"1,354,758"
Mar-2018,"1,345,730"
Apr-2018,"1,353,497"
May-2018,"1,360,723"
Jun-2018,"1,342,064"
Jul-2018,"1,335,024"
Aug-2018,"1,339,141"
Sep-2018,"1,323,245"
Oct-2018,"1,315,931"
Nov-2018,"1,302,721"
Dec-2018,"1,292,045"
Jan-2019,"1,295,341"
Feb-2019,"1,310,297"
Mar-2019,"1,319,912"
Apr-2019,"1,352,871"
May-2019,"1,364,812"
Jun-2019,"1,381,444"
Jul-2019,"1,412,986"
Aug-2019,"1,425,690"
Sep-2019,"1,438,309"
Oct-2019,"1,445,024"
Nov-2019,"1,464,447"
Dec-2019,"1,469,119"
Jan-2020,"1,491,029"
Feb-2020,"1,498,750"
Mar-2020,"1,502,330"
Apr-2020,"1,459,363"
May-2020,"1,449,765"
Jun-2020,"1,460,368"
Jul-2020,"1,474,508"
Aug-2020,"1,489,581"
Sep-2020,"1,512,309"
Oct-2020,"1,538,356"
Nov-2020,"1,552,503"
Dec-2020,"1,577,213"
Jan-2021,"1,599,028"
Feb-2021,"1,575,321"
Mar-2021,"1,610,208"
Apr-2021,"1,614,849"
May-2021,"1,627,889"
Jun-2021,"1,639,031"
Jul-2021,"1,661,485"
Aug-2021,"1,664,988"
Sep-2021,"1,673,006"
Oct-2021,"1,689,011"
Nov-2021,"1,731,866"
Dec-2021,"1,763,060"
Jan-2022,"1,808,519"
Feb-2022,"1,844,343"
Mar-2022,"1,876,116"
Apr-2022,"1,911,323"
May-2022,"1,925,882"
Jun-2022,"1,917,963"
Jul-2022,"1,924,328"
Aug-2022,"1,917,606"
Sep-2022,"1,919,931"
Oct-2022,"1,916,369"
Nov-2022,"1,918,913"
Dec-2022,"1,928,393"
Jan-2023,"1,957,962"
Feb-2023,"1,976,696"
Mar-2023,"1,996,401"
Apr-2023,"2,023,621"
May-2023,"2,054,535"
Jun-2023,"2,071,559"
Jul-2023,"2,085,773"
Aug-2023,"2,108,277"
Sep-2023,"2,123,480"
Oct-2023,"2,142,735"
Nov-2023,"2,167,301"
Dec-2023,"2,176,796"
Jan-2024,"2,161,405"
Feb-2024,"2,184,616"
Mar-2024,"2,174,863"
Apr-2024,"2,206,494"
May-2024,"2,215,350"
Jun-2024,"2,199,846"
Jul-2024,"2,200,746"
Aug-2024,"2,205,322"
Sep-2024,"2,197,940"
Oct-2024,"2,197,116"
Nov-2024,"2,192,932"
Dec-2024,"2,176,642"
Jan-2025,"2,169,595"
Feb-2025,"2,165,431"
Mar-2025,"2,150,847"
Apr-2025,"2,153,440"
May-2025,"2,149,124"
Jun-2025,"2,160,743"
Jul-2025,"2,165,016"
Aug-2025,"2,169,468"
,
,
,
,